公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
北京乐途原动力科技发展有限公司,北京乐途原动力,50-150人,未融资,朝阳区,python 高级工程师,3-5年,大专,20k-35k,"十五薪,打车补贴,双月奖金"
北京富博智勇科技有限公司,富博智勇,50-150人,不需要融资,朝阳区,python,3-5年,本科,30k-35k,五险一金
北京聚道科技有限公司,GeneDock,15-50人,B轮,海淀区,Python后端工程师,5-10年,本科,25k-40k,"五险一金,免费午餐,团队融洽,技术超前"
北京云杉智达科技有限公司,云杉智达科技,15-50人,不需要融资,海淀区,Python后端开发,1-3年,本科,15k-25k,提供住宿、五险一金、晋升空间
上海蔚来汽车有限公司,NIO蔚来,2000人以上,D轮及以上,朝阳区,python,3-5年,本科,20k-40k,"六险一金,弹性办公,租房补贴,学霸团队"
克鲁（北京）网络科技有限公司,Castbox,50-150人,B轮,朝阳区,Python后端开发工程师,3-5年,本科,20k-40k,"大牛云集,硅谷文化,免费三餐,租房补贴"
小小黛朵（北京）科技有限公司,花生米富,150-500人,B轮,海淀区,python工程师,3-5年,大专,16k-20k,九险一金
维我软件（上海）有限公司北京分公司,Veeva,500-2000人,上市公司,朝阳区,Python软件工程师,3-5年,本科,15k-25k,纽交所上市 美资 生命科学 股票
北京步鼎方舟科技有限公司,微车,150-500人,C轮,海淀区,Python高级开发工程师,3-5年,本科,20k-30k,一日三餐、带薪年假、弹性工作、六险一金
北京汇行科技有限公司,妙计旅行,150-500人,B轮,东城区,Python后端工程师-经理级,3-5年,本科,20k-30k,"七险一金,14薪,晋升空间,部门负责人"
北京汉迪移动互联网科技股份有限公司,iHandy,150-500人,不需要融资,海淀区,高级Python工程师,3-5年,本科,25k-50k,"硅谷氛围,高手如云,零食水果,六险一金"
掌阅科技股份有限公司,掌阅,500-2000人,上市公司,朝阳区,Python研发工程师（数据）,1-3年,本科,20k-30k,"上市公司,丰富福利,数据驱动,免费旅游"
北京果壳互动科技传媒有限公司,果壳网,150-500人,C轮,朝阳区,高级Python开发工程师,3-5年,本科,20k-40k,"八险一金,免费三餐,不加班,弹性工作"
上海海知智能科技有限公司,海知智能,50-150人,A轮,海淀区,Python开发工程师,3-5年,本科,20k-40k,"创新前沿,技术大牛,成长空间大,工作弹性"
盛和（北京）资讯科技有限公司,盛和资讯,15-50人,A轮,西城区,Python算法工程师（初中级）,1-3年,本科,15k-25k,"高收入,热门领域,发展前景"
贝壳找房（北京）科技有限公司,贝壳,2000人以上,C轮,海淀区,Python开发工程师,3-5年,本科,25k-50k,"扁平管理,六险二金,免费三餐,弹性工作"
北京趣拿软件科技有限公司,去哪儿网,2000人以上,不需要融资,海淀区,Python高级研发工程师-度假事业部(J11528),3-5年,本科,20k-40k,团队氛围融洽，帅哥美女多，年假多，年终奖
北京智合大方科技有限公司,客知音,15-50人,A轮,东城区,python后端开发工程师,不限,本科,20k-30k,福利待遇
北京百乘金科科技有限公司,百乘集团,2000人以上,上市公司,朝阳区,Python量化系统工程师,3-5年,本科,20k-40k,"五险一金,绩效奖金,餐补,带薪年假"
